# Baseline Results (Up to date)
# 597 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.642,45.059,45.059,143.504,143.591,196.525,196.631,1.028,4.549e-6,1.028,90,5,6.444,28.61,-80.6,0.157,-5.915e-6,-5.201,-0.009,87.368,90.002,667.403,142.494,0.106,7.78e-4,9.792,103.404,79.914,3.557,171.488,26.241,33.738,0.782,0.39,0.249,0.143,0.782,0.047,0.166,-6.25e-5,0,0,0,0,-3.772e-4,1.991,90,14.707,1007.965,0.001,340.211,0.422,1.205e7,6.604,34.253,0.015,0.016,0.018
0.657,47.275,47.275,146.484,146.573,193.588,193.668,1.105,4.042e-6,1.105,90,5.09,5.566,28.61,-80.6,0.179,-5.297e-6,-0.762,-0.006,87.415,89.999,666.022,141.113,0.106,7.779e-4,9.792,103.397,79.842,3.567,170.691,26.173,35.206,0.784,0.39,0.25,0.144,0.784,0.053,0.19,-7.823e-5,0,0,0,0,-7.773e-6,1.983,90,14.693,1007.705,0.001,340.203,0.431,1.23e7,6.604,34.253,0.013,0.016,0.019
0.671,49.217,49.217,149.012,149.102,190.981,191.081,1.173,3.803e-6,1.173,90,5.166,6.176,28.61,-80.6,0.14,-5.801e-6,2.954,-0.001,87.399,89.998,664.835,139.926,0.106,7.777e-4,9.792,103.445,79.779,3.584,170.006,26.114,36.475,0.785,0.389,0.25,0.145,0.785,0.042,0.15,-3.072e-4,0,0,0,0,1.129e-4,1.968,90,14.68,1007.478,0.001,340.195,0.439,1.251e7,6.604,34.253,0.012,0.016,0.019
0.683,51.078,51.078,151.363,151.454,188.468,188.622,1.237,3.906e-6,1.237,90,5.251,7.629,28.61,-80.6,0.072,-6.262e-6,5.353,-0.002,87.346,89.999,663.716,138.807,0.106,7.776e-4,9.792,103.522,79.72,3.604,169.36,26.059,37.678,0.786,0.389,0.251,0.146,0.786,0.021,0.077,-4.785e-4,0,0,0,0,3.593e-4,1.954,90,14.668,1007.259,0.001,340.188,0.445,1.27e7,6.604,34.253,0.019,0.016,0.019
0.702,53.923,53.923,154.827,154.921,184.249,184.539,1.336,4.429e-6,1.336,90,5.418,10.339,28.61,-80.6,0.044,-6.115e-6,-5.757,-3.211e-4,87.237,90,662.066,137.157,0.106,7.775e-4,9.792,103.565,79.633,3.624,168.142,25.936,39.492,0.787,0.389,0.252,0.147,0.787,0.013,0.048,4.881e-4,0,0,0,0,-3.971e-4,1.934,90,14.649,1006.926,0.001,340.176,0.456,1.299e7,6.604,34.253,0.028,0.016,0.02
0.729,58.31,58.31,159.875,159.978,177.965,178.376,1.492,4.755e-6,1.492,90,5.74,12.114,28.61,-80.6,0.114,-6.003e-6,-0.572,-0.015,87.143,90.006,659.592,134.683,0.105,7.772e-4,9.792,103.523,79.501,3.637,166.314,25.75,42.226,0.79,0.388,0.253,0.149,0.79,0.034,0.124,4.311e-6,0,0,0,0,-3.675e-6,1.92,90,14.621,1006.411,0.001,340.159,0.471,1.341e7,6.604,34.253,0.005,0.016,0.02
0.734,59.037,59.037,160.68,160.785,176.959,177.364,1.518,4.458e-6,1.518,90,5.794,11.978,28.61,-80.6,0.109,-5.987e-6,0.493,-0.016,87.143,90.007,659.19,134.281,0.105,7.772e-4,9.792,103.532,79.48,3.642,166.017,25.72,42.671,0.79,0.388,0.253,0.149,0.79,0.033,0.119,-1.694e-4,0,0,0,0,2.7e-6,1.918,90,14.616,1006.326,0.001,340.156,0.473,1.347e7,6.604,34.253,0.007,0.017,0.021
0.741,60.135,60.135,161.879,161.985,175.28,175.659,1.558,3.653e-6,1.558,90,5.875,11.528,28.61,-80.6,0.094,-6.002e-6,1.977,-0.016,87.151,90.009,658.599,133.69,0.105,7.771e-4,9.792,103.552,79.448,3.65,165.454,25.656,43.338,0.791,0.388,0.253,0.15,0.791,0.028,0.103,-1.762e-4,0,0,0,0,4.282e-5,1.915,90,14.609,1006.197,0.001,340.152,0.476,1.357e7,6.604,34.253,0.01,0.017,0.021
0.751,61.796,61.796,163.655,163.764,172.781,173.093,1.618,1.509e-6,1.618,90,5.987,10.389,28.61,-80.6,0.056,-6.049e-6,3.672,-0.023,87.181,90.01,657.714,132.805,0.105,7.77e-4,9.792,103.598,79.401,3.664,164.61,25.559,44.337,0.792,0.388,0.254,0.15,0.792,0.017,0.061,-9.412e-5,0,0,0,0,1.446e-4,1.913,90,14.598,1006.002,0.001,340.145,0.482,1.372e7,6.604,34.253,0.015,0.017,0.021
0.766,64.322,64.322,166.272,166.384,169.061,169.244,1.711,-3.667e-6,1.711,90,6.127,7.881,28.61,-80.6,0.027,-6.069e-6,-4.133,-0.045,87.244,90.008,656.386,131.477,0.105,7.769e-4,9.792,103.639,79.329,3.681,163.344,25.414,45.834,0.793,0.388,0.254,0.151,0.793,0.008,0.03,-1.002e-5,0,0,0,0,-1.774e-4,1.956,90,14.582,1005.706,0.001,340.136,0.489,1.394e7,6.604,34.253,0.018,0.017,0.021
0.784,67.288,67.288,169.222,169.337,164.713,164.814,1.82,-1.168e-5,1.82,90,6.245,5.781,28.61,-80.6,0.089,-5.414e-6,-1.536,-0.017,87.298,90.003,654.852,129.943,0.105,7.767e-4,9.792,103.596,79.246,3.687,161.882,25.246,47.555,0.795,0.387,0.255,0.152,0.795,0.027,0.098,-1.461e-4,0,0,0,0,-2.366e-5,2.005,90,14.563,1005.358,0.001,340.124,0.498,1.418e7,6.604,34.253,0.019,0.017,0.022
0.803,70.498,70.498,172.273,172.39,159.785,159.891,1.939,-2.017e-5,1.939,90.001,6.35,5.8,28.61,-80.6,0.078,-4.824e-6,2.596,-0.026,87.287,89.996,653.263,128.354,0.105,7.765e-4,9.792,103.623,79.16,3.704,160.204,25.045,49.369,0.796,0.387,0.256,0.153,0.796,0.023,0.086,1.981e-4,0,0,0,0,6.524e-5,2.048,90,14.542,1004.982,0.001,340.111,0.507,1.443e7,6.604,34.253,0.021,0.017,0.022
0.824,74.107,74.107,175.531,175.651,154.237,154.46,2.072,-2.553e-5,2.072,90.001,6.495,8.297,28.61,-80.6,0.011,-7.431e-6,-4.389,-0.159,87.207,89.993,651.511,126.602,0.104,7.763e-4,9.792,103.707,79.064,3.732,158.352,24.822,51.348,0.798,0.386,0.257,0.155,0.798,0.003,0.012,3.768e-4,0,0,0,0,-1.795e-4,2.036,90,14.518,1004.558,0.001,340.097,0.517,1.47e7,6.604,34.253,0.011,0.018,0.022
0.835,76.126,76.126,177.279,177.402,151.183,151.485,2.147,-2.604e-5,2.147,90.001,6.598,9.563,28.61,-80.6,0.053,-7.235e-6,-3.385,-0.029,87.161,89.996,650.544,125.635,0.104,7.762e-4,9.792,103.678,79.011,3.735,157.331,24.698,52.429,0.799,0.386,0.257,0.155,0.799,0.016,0.06,-4.596e-4,0,0,0,0,-1.047e-4,2.029,90,14.505,1004.322,0.001,340.089,0.522,1.485e7,6.604,34.253,0.017,0.018,0.023
0.852,79.192,79.192,179.837,179.965,146.816,147.167,2.262,-2.533e-5,2.262,90.001,6.77,10.167,28.61,-80.6,0.075,-8.206e-6,-0.201,-0.015,87.129,90.001,649.134,124.225,0.104,7.761e-4,9.792,103.675,78.933,3.747,155.898,24.527,54.034,0.8,0.386,0.258,0.156,0.8,0.022,0.084,1.784e-4,0,0,0,0,-3.578e-7,2.015,90,14.485,1003.962,0.001,340.077,0.529,1.506e7,6.604,34.253,0.019,0.018,0.023
0.871,82.689,82.689,182.624,182.756,142.026,142.304,2.394,-2.545e-5,2.394,90.001,6.957,8.889,28.61,-80.6,0.043,-6.973e-6,3.222,-0.021,87.161,90.005,647.549,122.64,0.104,7.759e-4,9.792,103.726,78.846,3.767,154.286,24.333,55.811,0.802,0.386,0.259,0.158,0.802,0.013,0.048,2.991e-4,0,0,0,0,8.939e-5,1.963,90,14.463,1003.552,0.001,340.063,0.538,1.529e7,6.604,34.253,0.015,0.018,0.023
0.886,85.359,85.359,184.662,184.798,138.476,138.653,2.496,-2.704e-5,2.496,90.001,7.072,7.01,28.61,-80.6,0.005,-6.731e-6,-4.016,-0.161,87.216,90.005,646.355,121.446,0.104,7.758e-4,9.792,103.777,78.779,3.785,153.073,24.186,57.131,0.803,0.385,0.259,0.158,0.803,0.002,0.007,-2.634e-4,0,0,0,0,-1.358e-4,1.925,90,14.445,1003.239,0.001,340.053,0.544,1.546e7,6.604,34.253,0.022,0.018,0.024
0.908,89.417,89.417,187.646,187.784,135.203,135.285,2.652,-3.187e-5,2.652,90.001,7.199,4.715,28.61,-80.6,0.062,-6.891e-6,-1.696,-0.006,87.284,90.005,644.595,119.686,0.103,7.756e-4,9.792,103.748,78.681,3.796,152.599,24.177,59.095,0.805,0.385,0.26,0.16,0.805,0.019,0.071,3.219e-4,0,0,0,0,-2.345e-5,1.907,90,14.419,1002.763,0.001,340.037,0.552,1.57e7,6.604,34.253,0.021,0.018,0.024
0.929,93.382,93.382,190.447,190.587,131.945,132.032,2.804,-3.829e-5,2.804,90.001,7.294,4.786,28.61,-80.6,0.054,-5.826e-6,2.551,-0.029,87.273,89.999,642.902,117.993,0.103,7.754e-4,9.792,103.779,78.586,3.815,152.142,24.168,60.975,0.806,0.385,0.261,0.161,0.806,0.016,0.062,-9.311e-5,0,0,0,0,5.153e-5,1.958,90,14.393,1002.298,0.001,340.021,0.561,1.593e7,6.604,34.253,0.007,0.018,0.024
0.936,94.762,94.762,191.397,191.537,130.792,130.907,2.857,-4.034e-5,2.857,90.001,7.331,5.483,28.61,-80.6,0.035,-5.838e-6,3.597,-0.042,87.251,89.996,642.319,117.41,0.103,7.754e-4,9.792,103.806,78.553,3.824,151.985,24.165,61.619,0.807,0.384,0.261,0.161,0.807,0.01,0.04,4.796e-4,0,0,0,0,1.014e-4,1.975,90,14.384,1002.136,0.001,340.016,0.564,1.601e7,6.604,34.253,0.011,0.019,0.025
0.947,96.844,96.844,192.785,192.927,125.508,125.683,2.936,-4.238e-5,2.936,90.001,7.396,6.63,28.61,-80.6,0.002,-5.82e-6,-4.049,-1.055,87.208,89.993,641.482,116.573,0.103,7.753e-4,9.792,103.85,78.506,3.838,149.467,23.795,62.569,0.808,0.384,0.262,0.162,0.808,4.69e-4,0.002,-1.414e-4,0,0,0,0,-1.267e-4,2.002,90,14.371,1001.892,0.001,340.007,0.568,1.612e7,6.604,34.253,0.016,0.019,0.025
0.963,99.994,99.994,194.762,194.907,117.632,117.949,3.058,-4.196e-5,3.058,90.001,7.522,8.653,28.61,-80.6,0.062,-6.314e-6,-2.36,-0.018,87.15,89.991,640.226,115.317,0.103,7.752e-4,9.792,103.811,78.435,3.843,145.689,23.24,63.933,0.809,0.384,0.262,0.163,0.809,0.019,0.073,-2.945e-4,0,0,0,0,-4.216e-5,1.961,90,14.35,1001.522,0.001,339.995,0.574,1.628e7,6.604,34.253,0.019,0.019,0.025
0.982,103.691,103.691,196.898,197.048,108.722,109.046,3.201,-3.629e-5,3.201,90.001,7.687,8.404,28.61,-80.6,0.066,-4.829e-6,2.205,-0.032,87.149,89.997,638.768,113.859,0.103,7.75e-4,9.792,103.828,78.352,3.858,141.303,22.591,65.425,0.81,0.384,0.263,0.164,0.81,0.02,0.077,-1.573e-4,0,0,0,0,3.601e-5,1.891,90,14.326,1001.089,0.001,339.98,0.58,1.646e7,6.604,34.253,0.006,0.019,0.025
0.988,104.88,104.88,197.545,197.696,105.936,106.212,3.248,-3.399e-5,3.248,90.001,7.736,7.643,28.61,-80.6,0.05,-4.938e-6,3.44,-0.045,87.166,90.001,638.303,113.394,0.103,7.75e-4,9.792,103.849,78.325,3.865,139.902,22.384,65.88,0.811,0.384,0.263,0.164,0.811,0.015,0.058,1.166e-4,0,0,0,0,8.707e-5,1.869,90,14.318,1000.949,0.001,339.976,0.582,1.651e7,6.604,34.253,0.009,0.019,0.025
0.997,106.67,106.67,198.433,198.586,90.671,90.843,3.318,-3.106e-5,3.318,90.001,7.796,5.591,28.61,-80.6,0.018,-4.841e-6,4.544,-0.121,87.203,90.007,637.758,112.849,0.103,7.749e-4,9.792,103.888,78.294,3.876,130.677,20.926,66.507,0.811,0.383,0.263,0.164,0.811,0.006,0.021,2.918e-4,0,0,0,0,1.506e-4,1.835,90,14.307,1000.739,0.001,339.969,0.584,1.658e7,6.604,34.253,0.014,0.019,0.025
1.011,109.369,109.369,199.509,199.663,68.014,68.051,3.424,-2.911e-5,3.424,90,7.849,2.258,28.61,-80.6,0.036,-5.437e-6,-4.06,-0.052,87.264,90.01,636.94,112.031,0.102,7.748e-4,9.792,103.882,78.247,3.882,116.839,18.734,67.267,0.812,0.383,0.264,0.165,0.812,0.011,0.043,-2.825e-4,0,0,0,0,-1.189e-4,1.811,90,14.289,1000.423,0.001,339.958,0.588,1.667e7,6.604,34.253,0.02,0.02,0.026
1.031,113.439,113.439,200.55,200.705,34.449,34.451,3.584,-3.22e-5,3.584,90.001,7.862,0.376,28.61,-80.6,0.061,-6.678e-6,0.063,-0.016,87.306,90.007,635.714,110.805,0.102,7.747e-4,9.792,103.869,78.177,3.89,96.082,15.435,67.998,0.813,0.383,0.264,0.165,0.813,0.018,0.071,-2.479e-4,0,0,0,0,2.863e-8,1.786,90,14.263,999.945,0.001,339.942,0.591,1.675e7,6.604,34.253,0.008,0.02,0.026
1.039,115.055,115.055,200.775,200.929,21.296,21.3,3.647,-3.469e-5,3.647,90.001,7.859,0.427,28.61,-80.6,0.046,-6.645e-6,1.674,-0.01,87.299,90.004,635.229,110.32,0.102,7.746e-4,9.792,103.885,78.149,3.897,87.865,14.126,68.151,0.813,0.383,0.264,0.165,0.813,0.014,0.055,1.856e-4,0,0,0,0,1.996e-5,1.776,90,14.252,999.756,0.001,339.936,0.591,1.677e7,6.604,34.253,0.012,0.02,0.026
1.051,117.481,117.481,200.923,201.076,3.234,3.239,3.742,-3.878e-5,3.742,90.001,7.857,0.183,28.61,-80.6,0.01,-6.786e-6,2.959,-0.043,87.27,90,634.817,109.908,0.102,7.746e-4,9.792,103.921,78.125,3.906,76.509,12.308,68.242,0.813,0.383,0.264,0.166,0.813,0.003,0.013,1.477e-4,0,0,0,0,6.228e-5,1.761,90,14.236,999.471,0.001,339.926,0.592,1.677e7,6.604,34.253,0.018,0.02,0.026
1.069,121.121,121.121,200.739,200.893,-23.427,23.44,3.885,-4.344e-5,3.885,90.001,7.868,0.797,28.61,-80.6,0.037,-8.062e-6,-1.902,-0.002,87.221,89.995,634.2,109.291,0.102,7.745e-4,9.792,103.894,78.09,3.907,59.474,9.577,68.085,0.813,0.383,0.264,0.165,0.813,0.011,0.044,2.392e-4,0,0,0,0,-2.579e-5,1.745,90,14.213,999.045,0.001,339.912,0.591,1.675e7,6.604,34.253,0.02,0.02,0.026
1.089,125.09,125.09,199.992,200.147,-51.896,51.9,4.04,-4.471e-5,4.04,90.001,7.873,0.596,28.61,-80.6,0.037,-1.152e-5,1.121,0.01,87.215,89.994,633.526,108.617,0.102,7.745e-4,9.792,103.886,78.051,3.912,40.857,6.586,67.517,0.812,0.383,0.264,0.165,0.812,0.011,0.044,-1.234e-4,0,0,0,0,9.03e-6,1.728,90,14.187,998.579,0.001,339.896,0.589,1.669e7,6.604,34.253,0.03,0.02,0.026
1.119,131.004,131.004,198.121,198.274,-73.994,74.11,4.274,-3.945e-5,4.274,90.001,7.799,4.142,28.61,-80.6,0.027,-1.311e-5,-1.429,0.009,87.268,89.995,633.092,108.183,0.102,7.744e-4,9.792,103.877,78.025,3.915,25.406,4.098,66.13,0.811,0.384,0.263,0.164,0.811,0.008,0.032,8.645e-5,0,0,0,0,-1.494e-5,1.746,90,14.148,997.885,0.001,339.873,0.584,1.652e7,6.604,34.253,0.021,0.02,0.025
1.14,135.205,135.205,196.38,196.53,-89.502,89.647,4.439,-3.301e-5,4.439,90,7.698,5.105,28.61,-80.6,0.033,-1.358e-5,1.187,-0.006,87.271,89.994,632.781,107.872,0.102,7.744e-4,9.792,103.854,78.007,3.914,14.328,2.312,64.862,0.81,0.384,0.263,0.164,0.81,0.01,0.039,2.388e-4,0,0,0,0,1.05e-5,1.778,90,14.121,997.393,0.001,339.856,0.579,1.637e7,6.604,34.253,0.032,0.021,0.025
1.172,141.432,141.432,193.414,193.561,-96.145,96.218,4.682,-1.778e-5,4.682,90,7.561,3.755,28.61,-80.6,0.013,-1.088e-5,-1.834,-0.002,87.209,89.997,632.623,107.714,0.102,7.744e-4,9.792,103.846,77.998,3.914,8.065,1.302,62.744,0.808,0.384,0.262,0.162,0.808,0.004,0.016,4.576e-4,0,0,0,0,-2.582e-5,1.826,90,14.081,996.662,0.001,339.832,0.57,1.612e7,6.604,34.253,0.019,0.021,0.025
1.191,145.1,145.1,191.545,191.691,-100,100.067,4.826,-8.965e-6,4.826,90,7.492,3.665,28.61,-80.6,0.022,-1.117e-5,-0.585,-0.005,87.185,89.997,632.529,107.62,0.102,7.743e-4,9.792,103.821,77.993,3.911,4.33,0.699,61.433,0.807,0.384,0.261,0.161,0.807,0.007,0.025,-3.036e-4,0,0,0,0,-2.677e-6,1.853,90,14.057,996.232,0.001,339.817,0.564,1.596e7,6.604,34.253,0.029,0.021,0.025
1.22,150.533,150.533,188.696,188.84,-99.323,99.422,5.038,4.524e-6,5.038,90,7.376,4.435,28.61,-80.6,4.042e-4,-1.289e-5,-0.453,0.08,87.189,89.995,632.485,107.576,0.102,7.743e-4,9.792,103.816,77.99,3.911,2.772,0.448,59.468,0.805,0.385,0.261,0.16,0.805,1.219e-4,6.358e-4,-2.819e-4,0,0,0,0,-1.653e-6,1.891,90,14.022,995.595,0.001,339.796,0.556,1.571e7,6.604,34.253,0.022,0.021,0.024
1.242,154.739,154.739,186.475,186.617,-98.856,98.976,5.202,1.586e-5,5.202,90,7.271,4.888,28.61,-80.6,0.014,-1.328e-5,0.181,5.094e-4,87.193,89.993,632.45,107.541,0.102,7.743e-4,9.792,103.784,77.988,3.906,1.55,0.25,57.961,0.804,0.385,0.26,0.159,0.804,0.004,0.017,4.659e-4,0,0,0,0,2.692e-7,1.919,90,13.994,995.102,0.001,339.779,0.549,1.552e7,6.604,34.253,0.034,0.021,0.024
1.276,160.954,160.954,183.182,183.32,-97.021,97.132,5.444,3.906e-5,5.444,90,7.11,4.637,28.61,-80.6,0.009,-1.765e-5,1.465,-0.022,87.161,89.991,632.436,107.527,0.102,7.743e-4,9.792,103.764,77.987,3.903,0.528,0.085,55.771,0.802,0.385,0.259,0.158,0.802,0.003,0.01,-4.35e-4,0,0,0,0,1.837e-5,2.003,90,13.954,994.373,0.001,339.755,0.54,1.524e7,6.604,34.253,0.017,0.021,0.023
# Event BURNOUT occurred at t=1.293 seconds
1.293,164.122,164.122,181.504,181.64,-96.14,96.236,5.567,5.433e-5,5.567,89.999,7.032,4.3,28.61,-80.6,0.001,-1.774e-5,-1.655,0.064,87.133,89.996,632.429,107.52,0.102,7.743e-4,9.792,103.758,77.987,3.902,0,0,54.675,0.801,0.386,0.259,0.157,0.801,4.448e-4,0.002,-5.748e-5,0,0,0,0,-2.388e-5,2.053,90,13.933,994.001,0.001,339.742,0.535,1.51e7,6.604,34.253,0.026,0.022,0.023
1.319,168.819,168.819,179.032,179.166,-93.654,93.722,5.749,7.627e-5,5.749,89.999,6.93,3.584,28.61,-80.6,0.022,-1.618e-5,-0.757,0.006,87.099,89.998,632.429,107.52,0.102,7.743e-4,9.792,103.721,77.987,3.897,0,0,53.082,0.8,0.386,0.258,0.156,0.8,0.007,0.026,-1.959e-4,0,0,0,0,-5.129e-6,2.074,90,13.903,993.45,0.001,339.724,0.528,1.489e7,6.604,34.253,0.039,0.022,0.023
1.358,175.746,175.746,175.442,175.573,-90.041,90.136,6.017,1.076e-4,6.017,89.999,6.78,4.129,28.61,-80.6,0.002,-1.473e-5,-0.465,0.048,87.109,89.99,632.429,107.52,0.102,7.743e-4,9.792,103.716,77.987,3.896,0,0,50.818,0.798,0.386,0.257,0.155,0.798,5.458e-4,0.002,4.561e-4,0,0,0,0,-2.014e-6,2.084,90,13.858,992.638,0.001,339.697,0.517,1.458e7,6.604,34.253,0.05,0.022,0.022
1.408,184.408,184.408,171.048,171.174,-85.803,85.878,6.35,1.643e-4,6.35,89.999,6.572,3.598,28.61,-80.6,0.01,-9.379e-6,-0.37,0.011,87.083,90.006,632.429,107.52,0.102,7.743e-4,9.792,103.682,77.987,3.891,0,0,48.124,0.796,0.387,0.256,0.153,0.796,0.003,0.012,-2.9e-4,0,0,0,0,-1.345e-6,2.114,90,13.801,991.622,0.001,339.663,0.504,1.421e7,6.604,34.253,0.05,0.022,0.022
1.458,192.855,192.855,166.858,166.98,-81.848,81.935,6.675,2.052e-4,6.675,89.998,6.392,3.775,28.61,-80.6,0.004,-2.292e-5,-0.408,-0.026,87.113,89.997,632.429,107.52,0.102,7.743e-4,9.792,103.665,77.987,3.888,0,0,45.632,0.794,0.387,0.255,0.151,0.794,0.001,0.005,-1.403e-4,0,0,0,0,-1.716e-6,2.034,90,13.746,990.631,0.001,339.629,0.492,1.385e7,6.604,34.253,0.05,0.022,0.021
1.508,201.097,201.097,162.858,162.976,-78.216,78.288,6.99,2.509e-4,6.99,89.998,6.21,3.353,28.61,-80.6,0.005,-2.53e-5,-0.002,0.02,87.11,89.98,632.429,107.52,0.102,7.743e-4,9.792,103.644,77.987,3.885,0,0,43.324,0.792,0.388,0.254,0.15,0.792,0.001,0.006,4.677e-4,0,0,0,0,0,1.999,90,13.693,989.665,0.001,339.597,0.48,1.351e7,6.604,34.253,0.05,0.022,0.021
1.558,209.143,209.143,159.033,159.148,-74.821,74.897,7.296,3.141e-4,7.296,89.998,6.048,3.369,28.61,-80.6,0.004,-2.135e-5,-0.631,0.071,87.142,89.979,632.429,107.52,0.102,7.743e-4,9.792,103.625,77.987,3.882,0,0,41.181,0.79,0.388,0.253,0.149,0.79,0.001,0.004,4.499e-4,0,0,0,0,-4.528e-6,1.903,90,13.641,988.721,0.001,339.565,0.469,1.318e7,6.604,34.253,0.05,0.022,0.02
1.608,217.003,217.003,155.371,155.482,-71.678,71.748,7.594,3.955e-4,7.594,89.997,5.879,3.158,28.61,-80.6,0.002,-1.899e-5,0.241,0.019,87.139,89.99,632.429,107.52,0.102,7.743e-4,9.792,103.609,77.987,3.88,0,0,39.189,0.788,0.389,0.252,0.147,0.788,5.794e-4,0.002,1.967e-4,0,0,0,0,6.89e-7,1.891,90,13.589,987.799,0.001,339.534,0.458,1.287e7,6.604,34.253,0.05,0.023,0.02
1.658,224.683,224.683,151.861,151.969,-68.747,68.812,7.884,4.74e-4,7.884,89.997,5.729,2.992,28.61,-80.6,0.001,-1.919e-5,0.031,0.023,87.134,90,632.429,107.52,0.102,7.743e-4,9.791,103.593,77.987,3.877,0,0,37.332,0.786,0.389,0.251,0.146,0.786,3.164e-4,0.002,-2.81e-4,0,0,0,0,1.226e-8,1.876,90,13.54,986.898,0.001,339.504,0.448,1.257e7,6.604,34.253,0.05,0.023,0.019
1.708,232.191,232.191,148.493,148.598,-66.004,66.072,8.167,5.341e-4,8.167,89.996,5.578,3.017,28.61,-80.6,0.008,-2.413e-5,0.544,-0.024,87.118,89.983,632.429,107.52,0.102,7.743e-4,9.791,103.571,77.987,3.874,0,0,35.6,0.785,0.389,0.25,0.145,0.785,0.002,0.009,5.685e-5,0,0,0,0,3.855e-6,1.917,90,13.491,986.018,0.001,339.474,0.438,1.229e7,6.604,34.253,0.05,0.023,0.019
1.758,239.535,239.535,145.258,145.359,-63.457,63.514,8.442,6.078e-4,8.442,89.996,5.431,2.672,28.61,-80.6,0.005,-2.292e-5,-1.146,0.112,87.064,90,632.429,107.52,0.102,7.743e-4,9.791,103.559,77.987,3.872,0,0,33.981,0.783,0.39,0.25,0.144,0.783,0.001,0.005,4.396e-4,0,0,0,0,-1.788e-5,2.008,90,13.443,985.157,0.001,339.445,0.428,1.201e7,6.604,34.253,0.05,0.023,0.019
1.808,246.719,246.719,142.145,142.244,-61.062,61.111,8.711,6.588e-4,8.711,89.996,5.311,2.449,28.61,-80.6,0.011,-1.62e-5,0.333,0.024,87.053,89.99,632.429,107.52,0.102,7.743e-4,9.791,103.54,77.987,3.869,0,0,32.461,0.782,0.39,0.249,0.143,0.782,0.003,0.012,-6.412e-5,0,0,0,0,1.58e-6,1.979,90,13.396,984.314,0.001,339.417,0.419,1.175e7,6.604,34.253,0.05,0.023,0.018
1.858,253.751,253.751,139.15,139.246,-58.786,58.854,8.973,7.134e-4,8.973,89.995,5.177,2.838,28.61,-80.6,0.017,-1.348e-5,0.114,0.011,87.066,89.989,632.429,107.52,0.102,7.743e-4,9.791,103.521,77.987,3.866,0,0,31.036,0.781,0.39,0.248,0.142,0.781,0.005,0.019,-4.192e-4,0,0,0,0,1.92e-7,1.996,90,13.351,983.489,0.001,339.389,0.411,1.15e7,6.604,34.253,0.05,0.023,0.018
1.908,260.636,260.636,136.264,136.357,-56.679,56.74,9.228,7.686e-4,9.228,89.995,5.035,2.61,28.61,-80.6,0.008,-9.834e-6,1.663,0.049,87.007,89.997,632.429,107.52,0.102,7.743e-4,9.791,103.517,77.987,3.866,0,0,29.698,0.779,0.391,0.248,0.141,0.779,0.002,0.009,2.197e-4,0,0,0,0,4.278e-5,2.107,90,13.306,982.682,0.001,339.362,0.402,1.125e7,6.604,34.253,0.05,0.023,0.017
1.958,267.379,267.379,133.479,133.57,-54.706,54.751,9.477,8.188e-4,9.477,89.995,4.922,2.207,28.61,-80.6,0.012,-1.1e-5,-0.858,0.015,86.943,89.996,632.429,107.52,0.102,7.743e-4,9.791,103.501,77.987,3.863,0,0,28.439,0.778,0.391,0.247,0.14,0.778,0.004,0.014,-4.434e-4,0,0,0,0,-1.187e-5,2.177,90,13.262,981.891,0.001,339.336,0.394,1.102e7,6.604,34.253,0.05,0.024,0.017
2.008,273.985,273.985,130.792,130.88,-52.814,52.872,9.72,8.671e-4,9.72,89.995,4.802,2.472,28.61,-80.6,0.008,-1.128e-5,0.954,-0.017,86.903,89.991,632.429,107.52,0.102,7.743e-4,9.791,103.495,77.987,3.862,0,0,27.252,0.777,0.391,0.247,0.139,0.777,0.002,0.009,1.444e-4,0,0,0,0,1.527e-5,2.292,90,13.219,981.116,0.001,339.31,0.386,1.079e7,6.604,34.253,0.05,0.024,0.017
